Available devices: 1
Current device: 0
Train Dataset size: 3550
Train Loader size: 73
Valid Dataset size: 5
Valid Loader size: 5
Data Loader successful!
/scratch/cc6858/ece57000/penv/lib/python3.8/site-packages/torch/utils/data/dataloader.py:563: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
<epoch:125, lr:1.000e-04> loss: 3.783e-02 
<epoch:126, lr:1.000e-04> loss: 3.850e-02 
<epoch:127, lr:1.000e-04> loss: 3.836e-02 
<epoch:128, lr:1.000e-04> loss: 3.844e-02 
<epoch:129, lr:1.000e-04> loss: 3.716e-02 
<epoch:130, lr:1.000e-04> loss: 3.816e-02 
<epoch:130, Average PSNR : 27.87dB

<epoch:131, lr:1.000e-04> loss: 3.683e-02 
<epoch:132, lr:1.000e-04> loss: 3.872e-02 
<epoch:133, lr:1.000e-04> loss: 3.790e-02 
<epoch:134, lr:1.000e-04> loss: 3.820e-02 
<epoch:135, lr:1.000e-04> loss: 3.754e-02 
<epoch:136, lr:1.000e-04> loss: 3.850e-02 
<epoch:137, lr:1.000e-04> loss: 3.838e-02 
<epoch:138, lr:1.000e-04> loss: 3.772e-02 
<epoch:139, lr:1.000e-04> loss: 3.758e-02 
<epoch:140, lr:1.000e-04> loss: 3.553e-02 
<epoch:140, Average PSNR : 28.43dB

<epoch:141, lr:1.000e-04> loss: 3.686e-02 
<epoch:142, lr:1.000e-04> loss: 3.635e-02 
<epoch:143, lr:1.000e-04> loss: 3.695e-02 
<epoch:144, lr:1.000e-04> loss: 3.711e-02 
<epoch:145, lr:1.000e-04> loss: 3.634e-02 
<epoch:146, lr:1.000e-04> loss: 3.587e-02 
<epoch:147, lr:1.000e-04> loss: 3.619e-02 
<epoch:148, lr:1.000e-04> loss: 3.573e-02 
<epoch:149, lr:1.000e-04> loss: 3.600e-02 
<epoch:150, lr:1.000e-04> loss: 3.588e-02 
<epoch:150, Average PSNR : 28.44dB

<epoch:151, lr:1.000e-04> loss: 3.614e-02 
<epoch:152, lr:1.000e-04> loss: 3.643e-02 
<epoch:153, lr:1.000e-04> loss: 3.612e-02 
<epoch:154, lr:1.000e-04> loss: 3.576e-02 
<epoch:155, lr:1.000e-04> loss: 3.491e-02 
<epoch:156, lr:1.000e-04> loss: 3.527e-02 
<epoch:157, lr:1.000e-04> loss: 3.580e-02 
<epoch:158, lr:1.000e-04> loss: 3.598e-02 
<epoch:159, lr:1.000e-04> loss: 3.625e-02 
<epoch:160, lr:1.000e-04> loss: 3.616e-02 
<epoch:160, Average PSNR : 28.75dB

<epoch:161, lr:1.000e-04> loss: 3.563e-02 
<epoch:162, lr:1.000e-04> loss: 3.552e-02 
<epoch:163, lr:1.000e-04> loss: 3.495e-02 
<epoch:164, lr:1.000e-04> loss: 3.593e-02 
<epoch:165, lr:1.000e-04> loss: 3.577e-02 
<epoch:166, lr:1.000e-04> loss: 3.602e-02 
<epoch:167, lr:1.000e-04> loss: 3.450e-02 
<epoch:168, lr:1.000e-04> loss: 3.595e-02 
<epoch:169, lr:1.000e-04> loss: 3.443e-02 
<epoch:170, lr:1.000e-04> loss: 3.543e-02 
<epoch:170, Average PSNR : 28.77dB

<epoch:171, lr:1.000e-04> loss: 3.577e-02 
<epoch:172, lr:1.000e-04> loss: 3.559e-02 
<epoch:173, lr:1.000e-04> loss: 3.555e-02 
<epoch:174, lr:1.000e-04> loss: 3.510e-02 
<epoch:175, lr:1.000e-04> loss: 3.414e-02 
<epoch:176, lr:1.000e-04> loss: 3.486e-02 
<epoch:177, lr:1.000e-04> loss: 3.424e-02 
<epoch:178, lr:1.000e-04> loss: 3.463e-02 
<epoch:179, lr:1.000e-04> loss: 3.437e-02 
<epoch:180, lr:1.000e-04> loss: 3.485e-02 
<epoch:180, Average PSNR : 29.31dB

